./extracted_images/with_original\pyramid0421.jpg 2 516 392 75 77 722 394 78 77
./extracted_images/with_original\pyramid0422.jpg 2 501 384 73 75 713 386 70 73
./extracted_images/with_original\pyramid0423.jpg 2 496 383 77 74 704 380 77 76
./extracted_images/with_original\pyramid0424.jpg 2 495 387 85 70 708 380 78 78
./extracted_images/with_original\pyramid0425.jpg 2 490 403 74 83 702 390 76 78
./extracted_images/with_original\pyramid0426.jpg 2 489 440 73 94 692 413 85 90
./extracted_images/with_original\pyramid0427.jpg 2 509 478 83 84 722 437 78 83
./extracted_images/with_original\pyramid0428.jpg 2 545 478 85 84 750 421 86 82
./extracted_images/with_original\pyramid0429.jpg 2 584 460 85 86 783 393 85 83
./extracted_images/with_original\pyramid0430.jpg 2 586 453 90 86 784 373 88 86
./extracted_images/with_original\pyramid0431.jpg 2 588 439 84 96 773 364 94 85
./extracted_images/with_original\pyramid0432.jpg 2 608 435 85 87 789 343 90 85
./extracted_images/with_original\pyramid0433.jpg 2 603 429 90 84 782 327 89 90
./extracted_images/with_original\pyramid0434.jpg 2 604 423 92 83 783 321 93 85
./extracted_images/with_original\pyramid0435.jpg 2 611 409 90 93 789 308 94 93
./extracted_images/with_original\pyramid0436.jpg 2 607 421 93 90 787 324 93 89
./extracted_images/with_original\pyramid0437.jpg 2 609 426 89 102 786 331 97 94
./extracted_images/with_original\pyramid0438.jpg 2 594 442 97 91 781 345 92 91
./extracted_images/with_original\pyramid0439.jpg 2 593 442 99 91 773 350 102 82
./extracted_images/with_original\pyramid0440.jpg 2 599 443 92 90 780 342 100 94
./extracted_images/with_original\pyramid0441.jpg 2 599 446 89 91 778 352 100 95
./extracted_images/with_original\pyramid0442.jpg 2 593 447 95 97 783 359 88 95
./extracted_images/with_original\pyramid0443.jpg 2 591 451 90 96 776 369 92 89
./extracted_images/with_original\pyramid0444.jpg 2 577 458 85 84 766 379 84 86
./extracted_images/with_original\pyramid0445.jpg 2 548 449 88 87 742 376 84 91
./extracted_images/with_original\pyramid0446.jpg 2 539 450 87 73 725 397 103 69
./extracted_images/with_original\pyramid0447.jpg 2 535 440 92 82 744 406 78 85
./extracted_images/with_original\pyramid0448.jpg 2 542 446 77 77 743 431 76 76
./extracted_images/with_original\pyramid0449.jpg 2 538 454 79 70 730 452 90 74
./extracted_images/with_original\pyramid0450.jpg 2 522 436 76 74 709 460 95 72
./extracted_images/with_original\pyramid0451.jpg 2 518 401 86 78 708 439 100 81
./extracted_images/with_original\pyramid0452.jpg 2 496 376 89 81 687 439 87 75
./extracted_images/with_original\pyramid0453.jpg 2 506 375 86 88 679 449 105 84
./extracted_images/with_original\pyramid0454.jpg 2 504 368 85 91 680 448 91 99
./extracted_images/with_original\pyramid0455.jpg 2 489 339 86 87 665 431 86 89
./extracted_images/with_original\pyramid0456.jpg 2 475 313 88 93 641 410 99 88
./extracted_images/with_original\pyramid0457.jpg 2 460 307 96 96 635 406 93 93
./extracted_images/with_original\pyramid0458.jpg 2 459 321 91 90 633 423 85 98
