./extracted_images/with_original\pyramid0283.jpg 2 550 90 64 77 737 144 77 86
./extracted_images/with_original\pyramid0284.jpg 2 561 97 72 82 756 156 78 92
./extracted_images/with_original\pyramid0285.jpg 2 569 117 78 84 762 182 87 94
./extracted_images/with_original\pyramid0286.jpg 2 579 134 65 85 771 201 82 102
./extracted_images/with_original\pyramid0287.jpg 2 574 145 72 89 766 220 83 100
./extracted_images/with_original\pyramid0288.jpg 2 564 134 71 87 740 215 100 100
./extracted_images/with_original\pyramid0289.jpg 2 528 128 80 94 702 222 100 93
./extracted_images/with_original\pyramid0290.jpg 2 499 126 75 92 666 222 95 100
./extracted_images/with_original\pyramid0291.jpg 2 469 148 72 89 625 243 96 98
./extracted_images/with_original\pyramid0292.jpg 2 462 152 68 89 616 244 84 108
./extracted_images/with_original\pyramid0293.jpg 2 468 149 66 94 608 247 92 106
./extracted_images/with_original\pyramid0294.jpg 2 474 152 71 96 621 252 79 109
./extracted_images/with_original\pyramid0295.jpg 1 490 153 57 91
./extracted_images/with_original\pyramid0296.jpg 2 469 141 61 100 603 251 79 100
./extracted_images/with_original\pyramid0297.jpg 2 569 233 75 105 435 118 61 106
./extracted_images/with_original\pyramid0298.jpg 2 421 125 53 89 546 237 79 106
./extracted_images/with_original\pyramid0299.jpg 2 545 253 64 108 414 139 54 94
./extracted_images/with_original\pyramid0300.jpg 2 414 139 58 102 542 262 73 105
./extracted_images/with_original\pyramid0301.jpg 2 553 262 68 105 422 143 54 97
./extracted_images/with_original\pyramid0302.jpg 2 420 123 52 94 551 245 70 106
./extracted_images/with_original\pyramid0303.jpg 2 545 234 70 107 413 102 56 99
./extracted_images/with_original\pyramid0304.jpg 2 419 100 63 98 558 232 77 105
./extracted_images/with_original\pyramid0305.jpg 2 568 238 69 111 426 103 62 105
./extracted_images/with_original\pyramid0306.jpg 2 426 103 60 110 567 247 76 114
./extracted_images/with_original\pyramid0307.jpg 2 568 262 76 117 414 110 68 110
