./extracted_images/with_800\with001.jpg 0
./extracted_images/with_800\with002.jpg 0
./extracted_images/with_800\with003.jpg 0
./extracted_images/with_800\with004.jpg 0
./extracted_images/with_800\with005.jpg 1 357 131 120 166
./extracted_images/with_800\with006.jpg 1 363 139 117 152
./extracted_images/with_800\with007.jpg 1 356 134 121 160
./extracted_images/with_800\with008.jpg 1 360 138 123 159
./extracted_images/with_800\with009.jpg 1 356 136 119 160
./extracted_images/with_800\with010.jpg 1 358 137 117 160
./extracted_images/with_800\with011.jpg 1 358 137 116 157
./extracted_images/with_800\with012.jpg 1 356 136 120 160
./extracted_images/with_800\with013.jpg 1 354 137 120 158
./extracted_images/with_800\with014.jpg 1 357 138 117 157
./extracted_images/with_800\with015.jpg 1 357 138 115 157
./extracted_images/with_800\with016.jpg 1 356 140 117 156
./extracted_images/with_800\with017.jpg 1 354 142 119 154
./extracted_images/with_800\with018.jpg 1 355 139 115 158
./extracted_images/with_800\with019.jpg 1 360 131 113 163
./extracted_images/with_800\with020.jpg 1 367 125 117 161
./extracted_images/with_800\with021.jpg 1 373 121 115 164
./extracted_images/with_800\with022.jpg 1 381 126 117 159
./extracted_images/with_800\with023.jpg 1 388 128 111 163
./extracted_images/with_800\with024.jpg 1 380 135 118 159
./extracted_images/with_800\with025.jpg 1 374 144 117 165
./extracted_images/with_800\with026.jpg 1 371 156 124 161
./extracted_images/with_800\with027.jpg 1 377 157 114 160
./extracted_images/with_800\with028.jpg 1 377 160 117 162
./extracted_images/with_800\with029.jpg 1 369 167 121 156
./extracted_images/with_800\with030.jpg 1 372 167 118 156
./extracted_images/with_800\with031.jpg 1 377 165 110 159
./extracted_images/with_800\with032.jpg 1 374 163 113 161
./extracted_images/with_800\with033.jpg 1 367 170 116 156
./extracted_images/with_800\with034.jpg 1 361 172 121 156
./extracted_images/with_800\with035.jpg 1 356 169 120 163
./extracted_images/with_800\with036.jpg 1 358 173 116 157
./extracted_images/with_800\with037.jpg 1 359 171 115 159
./extracted_images/with_800\with038.jpg 1 359 171 119 156
./extracted_images/with_800\with039.jpg 1 369 165 112 162
./extracted_images/with_800\with040.jpg 1 369 165 118 158
./extracted_images/with_800\with041.jpg 1 372 161 117 163
./extracted_images/with_800\with042.jpg 1 372 161 116 158
./extracted_images/with_800\with043.jpg 1 369 157 120 162
./extracted_images/with_800\with044.jpg 1 369 157 115 157
./extracted_images/with_800\with045.jpg 1 369 156 118 158
./extracted_images/with_800\with046.jpg 1 371 161 112 164
./extracted_images/with_800\with047.jpg 1 364 165 125 159
./extracted_images/with_800\with048.jpg 1 364 165 125 166
./extracted_images/with_800\with049.jpg 1 376 174 119 161
./extracted_images/with_800\with050.jpg 1 378 170 122 165
./extracted_images/with_800\with051.jpg 1 382 168 123 164
./extracted_images/with_800\with052.jpg 1 385 165 121 156
./extracted_images/with_800\with053.jpg 1 385 165 116 157
./extracted_images/with_800\with054.jpg 1 372 161 129 161
./extracted_images/with_800\with055.jpg 1 361 161 121 158
./extracted_images/with_800\with056.jpg 1 358 160 117 158
./extracted_images/with_800\with057.jpg 1 337 160 126 158
./extracted_images/with_800\with058.jpg 1 328 161 124 155
./extracted_images/with_800\with059.jpg 1 318 158 124 161
./extracted_images/with_800\with060.jpg 1 324 158 115 156
./extracted_images/with_800\with061.jpg 1 321 156 122 158
./extracted_images/with_800\with062.jpg 1 323 149 128 155
./extracted_images/with_800\with063.jpg 1 344 146 122 155
./extracted_images/with_800\with064.jpg 1 352 141 120 160
./extracted_images/with_800\with065.jpg 1 362 134 119 164
./extracted_images/with_800\with066.jpg 1 367 137 118 156
./extracted_images/with_800\with067.jpg 1 366 134 121 161
./extracted_images/with_800\with068.jpg 1 362 133 116 162
./extracted_images/with_800\with069.jpg 1 356 135 122 160
./extracted_images/with_800\with070.jpg 1 355 136 115 159
./extracted_images/with_800\with071.jpg 1 353 135 117 160
./extracted_images/with_800\with072.jpg 1 347 137 120 161
./extracted_images/with_800\with073.jpg 1 341 139 126 159
./extracted_images/with_800\with074.jpg 1 341 139 121 158
./extracted_images/with_800\with075.jpg 1 341 137 121 160
./extracted_images/with_800\with076.jpg 1 341 137 117 161
./extracted_images/with_800\with077.jpg 1 338 141 123 164
./extracted_images/with_800\with078.jpg 1 338 141 122 165
./extracted_images/with_800\with079.jpg 1 344 147 114 164
./extracted_images/with_800\with080.jpg 1 343 154 119 159
./extracted_images/with_800\with081.jpg 1 341 156 121 157
./extracted_images/with_800\with082.jpg 1 340 155 119 160
./extracted_images/with_800\with083.jpg 1 341 154 121 161
./extracted_images/with_800\with084.jpg 1 337 152 121 156
./extracted_images/with_800\with085.jpg 1 337 145 121 163
./extracted_images/with_800\with086.jpg 1 335 145 123 163
./extracted_images/with_800\with087.jpg 1 335 143 121 157
./extracted_images/with_800\with088.jpg 1 337 143 120 157
./extracted_images/with_800\with089.jpg 1 337 143 115 160
./extracted_images/with_800\with090.jpg 1 330 141 124 162
./extracted_images/with_800\with091.jpg 1 330 141 114 159
./extracted_images/with_800\with092.jpg 1 324 140 124 161
./extracted_images/with_800\with093.jpg 1 321 140 122 160
./extracted_images/with_800\with094.jpg 1 317 132 124 162
./extracted_images/with_800\with095.jpg 1 317 132 119 160
./extracted_images/with_800\with096.jpg 1 315 127 121 165
./extracted_images/with_800\with097.jpg 1 315 127 127 163
./extracted_images/with_800\with098.jpg 1 317 127 126 163
./extracted_images/with_800\with099.jpg 1 317 127 126 167
./extracted_images/with_800\with100.jpg 1 317 132 126 167
./extracted_images/with_800\with1000.jpg 1 384 99 151 186
./extracted_images/with_800\with1001.jpg 1 388 97 154 194
./extracted_images/with_800\with1002.jpg 1 388 97 159 193
./extracted_images/with_800\with1003.jpg 1 400 104 147 186
./extracted_images/with_800\with1004.jpg 1 404 110 155 184
./extracted_images/with_800\with1005.jpg 1 404 110 152 188
./extracted_images/with_800\with1006.jpg 1 406 109 150 189
./extracted_images/with_800\with1007.jpg 1 406 109 150 187
./extracted_images/with_800\with1008.jpg 1 404 104 152 192
./extracted_images/with_800\with1009.jpg 1 407 108 148 188
./extracted_images/with_800\with101.jpg 1 317 134 120 168
./extracted_images/with_800\with1010.jpg 1 407 109 156 184
./extracted_images/with_800\with1011.jpg 1 409 109 149 189
./extracted_images/with_800\with1012.jpg 1 405 106 153 192
./extracted_images/with_800\with1013.jpg 1 405 106 150 189
./extracted_images/with_800\with1014.jpg 1 397 100 158 193
./extracted_images/with_800\with1015.jpg 1 400 93 146 191
./extracted_images/with_800\with1016.jpg 1 395 91 153 195
./extracted_images/with_800\with1017.jpg 1 395 91 154 192
./extracted_images/with_800\with1018.jpg 1 395 91 154 192
./extracted_images/with_800\with1019.jpg 1 392 86 149 192
./extracted_images/with_800\with102.jpg 1 316 136 123 165
./extracted_images/with_800\with1020.jpg 1 382 77 159 192
./extracted_images/with_800\with1021.jpg 1 382 71 148 199
./extracted_images/with_800\with1022.jpg 1 372 71 160 200
./extracted_images/with_800\with1023.jpg 1 359 71 158 193
./extracted_images/with_800\with1024.jpg 1 360 62 152 209
./extracted_images/with_800\with1025.jpg 1 347 74 154 200
./extracted_images/with_800\with1026.jpg 1 342 71 161 208
./extracted_images/with_800\with1027.jpg 1 341 70 149 211
./extracted_images/with_800\with1028.jpg 1 332 77 158 204
./extracted_images/with_800\with1029.jpg 1 334 68 156 212
./extracted_images/with_800\with103.jpg 1 313 136 129 169
./extracted_images/with_800\with1030.jpg 1 338 81 151 198
./extracted_images/with_800\with1031.jpg 1 345 82 145 206
./extracted_images/with_800\with1032.jpg 1 343 86 150 203
./extracted_images/with_800\with1033.jpg 1 349 85 151 206
./extracted_images/with_800\with1034.jpg 1 352 91 148 200
./extracted_images/with_800\with1035.jpg 1 352 91 152 199
./extracted_images/with_800\with1036.jpg 1 354 89 148 192
./extracted_images/with_800\with1037.jpg 1 350 86 151 198
./extracted_images/with_800\with1038.jpg 1 357 84 144 200
./extracted_images/with_800\with1039.jpg 1 354 81 153 198
./extracted_images/with_800\with104.jpg 1 309 134 131 173
./extracted_images/with_800\with1040.jpg 1 354 81 156 203
./extracted_images/with_800\with1041.jpg 1 355 78 146 205
./extracted_images/with_800\with1042.jpg 1 352 84 149 199
./extracted_images/with_800\with1043.jpg 1 352 84 143 199
./extracted_images/with_800\with1044.jpg 1 348 88 147 195
./extracted_images/with_800\with1045.jpg 1 348 88 144 199
./extracted_images/with_800\with1046.jpg 1 344 88 148 199
./extracted_images/with_800\with1047.jpg 1 354 77 136 212
./extracted_images/with_800\with1048.jpg 1 356 86 134 203
./extracted_images/with_800\with1049.jpg 1 356 86 152 191
./extracted_images/with_800\with105.jpg 1 314 138 125 173
./extracted_images/with_800\with1050.jpg 1 357 68 150 208
./extracted_images/with_800\with1051.jpg 1 371 85 136 191
./extracted_images/with_800\with1052.jpg 1 371 85 135 190
./extracted_images/with_800\with1053.jpg 1 370 80 140 200
./extracted_images/with_800\with1054.jpg 1 367 73 143 200
./extracted_images/with_800\with1055.jpg 1 372 80 140 194
./extracted_images/with_800\with1056.jpg 1 372 68 139 199
./extracted_images/with_800\with1057.jpg 1 378 77 134 195
./extracted_images/with_800\with1058.jpg 1 377 75 134 193
./extracted_images/with_800\with1059.jpg 1 377 82 138 188
