./extracted_images/with_original\pyramid0213.jpg 2 535 247 66 57 739 249 65 59
./extracted_images/with_original\pyramid0214.jpg 2 532 245 63 57 734 248 65 59
./extracted_images/with_original\pyramid0215.jpg 2 521 224 68 57 725 226 70 58
./extracted_images/with_original\pyramid0216.jpg 2 529 224 67 55 736 225 67 57
./extracted_images/with_original\pyramid0217.jpg 2 534 235 66 56 739 234 68 58
./extracted_images/with_original\pyramid0218.jpg 2 547 237 64 55 748 240 70 56
./extracted_images/with_original\pyramid0219.jpg 2 549 238 61 55 747 241 66 55
./extracted_images/with_original\pyramid0220.jpg 2 547 247 60 51 740 249 67 55
./extracted_images/with_original\pyramid0221.jpg 2 532 258 64 54 727 259 63 53
./extracted_images/with_original\pyramid0222.jpg 2 531 273 59 49 719 276 62 52
./extracted_images/with_original\pyramid0223.jpg 2 541 282 60 50 723 287 65 50
./extracted_images/with_original\pyramid0224.jpg 2 560 288 55 48 737 291 66 49
./extracted_images/with_original\pyramid0225.jpg 2 553 304 59 49 732 306 59 48
./extracted_images/with_original\pyramid0226.jpg 2 553 321 57 48 733 323 63 51
./extracted_images/with_original\pyramid0227.jpg 2 537 337 58 48 718 340 63 49
./extracted_images/with_original\pyramid0228.jpg 2 520 336 60 46 703 341 60 48
./extracted_images/with_original\pyramid0229.jpg 2 529 336 61 48 711 341 61 49
./extracted_images/with_original\pyramid0230.jpg 2 522 314 61 47 704 319 65 47
./extracted_images/with_original\pyramid0231.jpg 2 531 323 60 49 713 331 61 49
./extracted_images/with_original\pyramid0232.jpg 2 534 339 60 49 716 345 60 48
./extracted_images/with_original\pyramid0233.jpg 2 528 337 58 47 711 342 59 49
./extracted_images/with_original\pyramid0234.jpg 2 517 339 59 48 702 347 61 47
./extracted_images/with_original\pyramid0235.jpg 2 519 336 57 46 700 340 62 50
./extracted_images/with_original\pyramid0236.jpg 2 517 335 57 48 700 342 61 48
./extracted_images/with_original\pyramid0237.jpg 2 514 337 59 47 698 343 61 49
./extracted_images/with_original\pyramid0238.jpg 2 516 344 60 47 700 351 62 49
./extracted_images/with_original\pyramid0239.jpg 2 522 354 61 48 704 360 64 50
./extracted_images/with_original\pyramid0240.jpg 2 526 362 60 47 707 370 66 46
./extracted_images/with_original\pyramid0241.jpg 2 533 363 60 46 719 368 59 49
./extracted_images/with_original\pyramid0242.jpg 2 542 365 58 46 726 373 62 48
